date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:29:45	124/124	---MCZ	200	added ('OK')	text/plain	date:Wed,%2019%20Oct%202016%2015:43:42%20GMT	http://getbootstrap.com/robots.txt		(from )
13:29:46	8331/8331	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202016%2015:43:42%20GMT	http://getbootstrap.com/	C:/My%20Websites/http___getbootstrap.com_/getbootstrap.com/index.html	(from )
13:29:46	121200/121200	---MCZ	200	added ('OK')	text/css	date:Wed,%2019%20Oct%202016%2015:43:42%20GMT	http://getbootstrap.com/dist/css/bootstrap.min.css	C:/My%20Websites/http___getbootstrap.com_/getbootstrap.com/dist/css/bootstrap.min.css	(from http://getbootstrap.com/)
13:29:47	22570/22570	---MCZ	200	added ('OK')	text/css	date:Wed,%2019%20Oct%202016%2015:43:42%20GMT	http://getbootstrap.com/assets/css/docs.min.css	C:/My%20Websites/http___getbootstrap.com_/getbootstrap.com/assets/css/docs.min.css	(from http://getbootstrap.com/)
13:29:47	2130/2130	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2019%20Oct%202016%2015:43:42%20GMT	http://getbootstrap.com/assets/js/ie-emulation-modes-warning.js	C:/My%20Websites/http___getbootstrap.com_/getbootstrap.com/assets/js/ie-emulation-modes-warning.js	(from http://getbootstrap.com/)
13:29:48	6140/6140	---M--	200	added ('OK')	image/png	date:Wed,%2019%20Oct%202016%2015:43:42%20GMT	http://getbootstrap.com/apple-touch-icon.png	C:/My%20Websites/http___getbootstrap.com_/getbootstrap.com/apple-touch-icon.png	(from http://getbootstrap.com/)
13:29:48	5430/5430	---MCZ	200	added ('OK')	image/x-icon	date:Wed,%2019%20Oct%202016%2015:43:42%20GMT	http://getbootstrap.com/favicon.ico	C:/My%20Websites/http___getbootstrap.com_/getbootstrap.com/favicon.ico	(from http://getbootstrap.com/)
13:29:49	27805/27805	---MC-	200	added ('OK')	text/javascript	date:Wed,%2028%20Sep%202016%2020:19:01%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Websites/http___getbootstrap.com_/www.google-analytics.com/analytics.js	(from http://getbootstrap.com/)
13:29:49	178/178	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2028%20Dec%202016%2005:29:48%20GMT	http://getbootstrap.com/getting-started	C:/My%20Websites/http___getbootstrap.com_/getbootstrap.com/getting-started	(from http://getbootstrap.com/)
13:29:50	66290/66290	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202016%2015:43:42%20GMT	http://getbootstrap.com/getting-started/	C:/My%20Websites/http___getbootstrap.com_/getbootstrap.com/getting-started/index.html	(from http://getbootstrap.com/)
13:29:53	120456/120456	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202016%2015:43:42%20GMT	http://getbootstrap.com/customize/	C:/My%20Websites/http___getbootstrap.com_/getbootstrap.com/customize/index.html	(from http://getbootstrap.com/)
13:29:53	2926/2926	---M--	200	added ('OK')	image/png	date:Wed,%2019%20Oct%202016%2015:43:42%20GMT	http://getbootstrap.com/assets/img/components.png	C:/My%20Websites/http___getbootstrap.com_/getbootstrap.com/assets/img/components.png	(from http://getbootstrap.com/)
13:29:55	282735/282735	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202016%2015:43:42%20GMT	http://getbootstrap.com/css/	C:/My%20Websites/http___getbootstrap.com_/getbootstrap.com/css/index.html	(from http://getbootstrap.com/)
13:29:55	267941/267941	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202016%2015:43:42%20GMT	http://getbootstrap.com/components/	C:/My%20Websites/http___getbootstrap.com_/getbootstrap.com/components/index.html	(from http://getbootstrap.com/)
13:29:55	187406/187406	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202016%2015:43:42%20GMT	http://getbootstrap.com/javascript/	C:/My%20Websites/http___getbootstrap.com_/getbootstrap.com/javascript/index.html	(from http://getbootstrap.com/)
13:29:55	6614/6614	---M--	200	added ('OK')	image/png	date:Wed,%2019%20Oct%202016%2015:43:42%20GMT	http://getbootstrap.com/assets/img/devices.png	C:/My%20Websites/http___getbootstrap.com_/getbootstrap.com/assets/img/devices.png	(from http://getbootstrap.com/)
13:29:56	14539/14539	---M--	200	added ('OK')	image/png	date:Wed,%2019%20Oct%202016%2015:43:42%20GMT	http://getbootstrap.com/assets/img/sass-less.png	C:/My%20Websites/http___getbootstrap.com_/getbootstrap.com/assets/img/sass-less.png	(from http://getbootstrap.com/)
13:29:57	14167/14167	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202016%2015:43:42%20GMT	http://getbootstrap.com/about/	C:/My%20Websites/http___getbootstrap.com_/getbootstrap.com/about/index.html	(from http://getbootstrap.com/)
13:30:20	641/641	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2019%20Oct%202016%2015:43:42%20GMT	http://getbootstrap.com/assets/js/ie10-viewport-bug-workaround.js	C:/My%20Websites/http___getbootstrap.com_/getbootstrap.com/assets/js/ie10-viewport-bug-workaround.js	(from http://getbootstrap.com/)
13:30:22	3854/3854	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2025%20Oct%202016%2016:50:19%20GMT	http://secure.gaug.es/track.js	C:/My%20Websites/http___getbootstrap.com_/secure.gaug.es/track.js	(from http://getbootstrap.com/)
13:30:22	37045/37045	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2019%20Oct%202016%2015:43:42%20GMT	http://getbootstrap.com/dist/js/bootstrap.min.js	C:/My%20Websites/http___getbootstrap.com_/getbootstrap.com/dist/js/bootstrap.min.js	(from http://getbootstrap.com/)
13:30:22	159273/159273	---M--	200	added ('OK')	image/jpeg	date:Wed,%2019%20Oct%202016%2015:43:42%20GMT	http://getbootstrap.com/assets/img/expo-lyft.jpg	C:/My%20Websites/http___getbootstrap.com_/getbootstrap.com/assets/img/expo-lyft.jpg	(from http://getbootstrap.com/)
13:30:24	161715/161715	---M--	200	added ('OK')	image/jpeg	date:Wed,%2019%20Oct%202016%2015:43:42%20GMT	http://getbootstrap.com/assets/img/expo-riot.jpg	C:/My%20Websites/http___getbootstrap.com_/getbootstrap.com/assets/img/expo-riot.jpg	(from http://getbootstrap.com/)
13:30:25	47160/47160	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2019%20Oct%202016%2015:43:42%20GMT	http://getbootstrap.com/assets/js/docs.min.js	C:/My%20Websites/http___getbootstrap.com_/getbootstrap.com/assets/js/docs.min.js	(from http://getbootstrap.com/)
13:30:28	18028/18028	---M--	200	added ('OK')	application/font-woff2	date:Wed,%2019%20Oct%202016%2015:43:42%20GMT	http://getbootstrap.com/dist/fonts/glyphicons-halflings-regular.woff2	C:/My%20Websites/http___getbootstrap.com_/getbootstrap.com/dist/fonts/glyphicons-halflings-regular.woff2	(from http://getbootstrap.com/dist/css/bootstrap.min.css)
13:30:29	20127/20127	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2019%20Oct%202016%2015:43:42%20GMT	http://getbootstrap.com/dist/fonts/glyphicons-halflings-regular.eot	C:/My%20Websites/http___getbootstrap.com_/getbootstrap.com/dist/fonts/glyphicons-halflings-regular.eot	(from http://getbootstrap.com/dist/css/bootstrap.min.css)
13:30:29	97163/97163	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2019%20Oct%202016%2015:43:42%20GMT	http://getbootstrap.com/assets/js/vendor/jquery.min.js	C:/My%20Websites/http___getbootstrap.com_/getbootstrap.com/assets/js/vendor/jquery.min.js	(from http://getbootstrap.com/)
